id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Sair,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",Um farol de advertência autônomo foi deixado emitindo um uivo distorcido entre canais oficiais. Qualquer mensagem que deveria transmitir foi corrompida.,beaconLeave:Sair,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de advertência autônomo emite uma mensagem em loop.

""PERIGO: Este sistema estelar é conhecido por conter sistemas de armas autônomos potencialmente ativos. O acesso a este sistema por partes não autorizadas é proibido pelo decreto naval da Hegemonia 224.34.""",beaconLeave:Sair,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de advertência autônomo emite uma mensagem em loop.

""PERIGO: Este sistema estelar é conhecido por conter sistemas de armas autônomos potencialmente ativos. O acesso a este sistema por partes não autorizadas é proibido pelo decreto naval da Hegemonia 224.34.""",beaconLeave:Sair,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de advertência autônomo emite uma mensagem em loop.

""PERIGO: Este sistema estelar é conhecido por conter sistemas de armas autônomos potencialmente ativos. O acesso a este sistema por partes não autorizadas é proibido pelo decreto naval da Hegemonia 224.34.""",beaconLeave:Sair,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Este farol de advertência autônomo emite uma mensagem em loop.

""Este mundo está corrompido pelo pecado tecnológico e sua abominação testemunha o resultado de se desviar do caminho da virtude. O trespasse é proibido. Qualquer que desdenhe este aviso se tornará corrupto de corpo e fora-da-lei pela justiça sagrada imposta por esta ordem dos Cavaleiros de Ludd.""",beaconLeave:Sair,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado de uma era passada.

O Portal está inerte.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Diante de você, vasto e potente, paira um anel adamantino, abandonado de uma era passada.

Você escaneou este Portal e descobriu o ritmo do coração secreto da coisa, oculto em um espaço distorcido. Usar o Dispositivo Janus para criar uma ponte para outro Portal requer uma quantidade massiva de combustível. Quanto mais distante o alvo, mais combustível é necessário.

O Dispositivo Janus opera transferindo enormes quantidades de energia peculiarmente faseada através do campo de hiperpropulsão de uma nave líder para estabilizar uma conexão direta entre portais.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Diante de você, vasto e potente, paira um anel adamantino, abandonado de uma era passada.

Você escaneou este Portal e descobriu o ritmo do coração secreto da coisa, oculto em um espaço distorcido. Usar o Dispositivo Janus para criar uma ponte para outro Portal requer uma quantidade massiva de combustível. Quanto mais distante o alvo, mais combustível é necessário.

Você deve integrar o Dispositivo Janus à sua frota para usar o Portal.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado de uma era passada.

Seu oficial de sensores acena para você. Sua interface de comando se ilumina. 'EXECUTAR ESCANEAMENTO' pisca aguardando. O Portal espera, tão frio quanto uma tumba.",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado de uma era passada.

Você escaneou este Portal e descobriu o ritmo do coração secreto da coisa, oculto em um espaço distorcido.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Um anel silencioso de material adamantino, abandonado de uma era passada.

Seu oficial de sensores acena para você; o escâner hiperbanda está pronto. As palavras 'EXECUTAR ESCANEAMENTO' piscam aguardando em sua interface de comando.

Você precisará de um escaneamento deste Portal para poder usá-lo, com o Dispositivo Janus, como ponto de acesso ou saída da rede de Portais.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","Você ordena que sua $shipOrFleet atravesse o portal morto. Sua tripulação de ponte permanece especialmente silenciosa durante a passagem.

Nada acontece.",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Sua tela de comando é sobreposta por uma representação do manifold de hiperespaço ao redor do Portal. Está calmo e frio, desprovido de rastros de propulsão.

Ao iniciar o escaneamento, você observa uma linha de perturbação brilhar entre o ícone representando sua nave capitânea e o ícone representando o Portal. Espirais e ondulações se espalham em ondas não-newtonianas, surgindo de um ponto no centro do Portal. Não, não é um ponto — um círculo, uma esfera, um toro e um funil invertido; então alguma outra forma que faz você fechar os olhos com força. Você ouve música fraca vinda de longe.

""Capitão?"" Seu oficial de sensores está olhando para você. ""O escaneamento está completo."" Você percebe que é a segunda vez que ele diz isso, e gesticula como se estivesse apenas perdido em pensamentos.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Sua tela de comando exibe uma representação do manifold do hiperespaço. Está calmo e frio.

A varredura é iniciada, uma linha de perturbação brilhando entre sua nave capitânea e o Portal. Espirais e ondulações se espalham e se intensificam em explosões não-newtonianas a partir de um ponto no centro do Portal. Não, não é um ponto — um círculo, uma esfera, um toro e um funil invertido; depois, uma geometria que não pode ser interpretada.",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","Sua tela de comando exibe o manifold do hiperespaço. Está calmo e frio.

O feixe de varredura brilha na tela hiperdimensional. Espirais e ondulações se espalham em explosões vindas do Portal, avançando para uma geometria inconcebível. Você ouve um leve sussurro de música.

— ""Capitão"", relata seu oficial de sensores, ""A varredura está completa.""",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:Voar pelo Portal,
